Frame,LEFT_SHOULDER-LEFT_ELBOW-LEFT_WRIST,RIGHT_SHOULDER-RIGHT_ELBOW-RIGHT_WRIST,LEFT_HIP-LEFT_KNEE-LEFT_ANKLE,RIGHT_HIP-RIGHT_KNEE-RIGHT_ANKLE,LEFT_SHOULDER-LEFT_HIP-LEFT_KNEE,RIGHT_SHOULDER-RIGHT_HIP-RIGHT_KNEE,LEFT_ELBOW-LEFT_SHOULDER-LEFT_HIP,RIGHT_ELBOW-RIGHT_SHOULDER-RIGHT_HIP,Exercise
1,175.79398321191795,156.17505671830315,175.05703958135808,165.88060772614,127.23173951319814,140.26006488690246,43.91930794845561,17.461451549284497,push-up
2,174.64728371237268,169.3487779944637,176.02054628768323,150.07397915833138,148.24808998310667,92.88281824528491,26.21072930375733,39.12613228581081,push-up
3,166.1942303576215,136.16416260781068,162.83300908361483,163.94490685516743,116.33761872323865,97.36337620613102,61.35794670482588,30.41595258629755,push-up
4,173.92742084656408,157.91750433674386,174.1202030820085,163.2674366344478,114.4998389698275,99.97890403594158,63.91236287560827,45.33752650629143,push-up
5,173.35195528744916,148.97344950464992,179.64712744218335,154.9309669756426,128.74361812855463,99.47280731630957,42.94099877041589,34.92901962310593,push-up
6,171.81274827077252,169.97568642584397,177.51016615211614,160.72441207395545,148.43185257337097,104.83577070928197,15.8491745712652,44.00897458542707,push-up
7,175.4485552078462,178.3683142857682,175.9058984197828,160.49126541592915,128.73072442205262,106.62311914327776,45.8993415824792,37.92221862248707,push-up
8,171.8745333273901,178.7066016605818,176.9226591424327,159.81914411727328,121.68461231350807,108.77232268586303,48.88465269390418,23.3652978602666,push-up
9,168.52883017036214,170.34149018778098,172.12307550427371,159.75106594358869,111.52576889958624,106.20065427305087,57.729698890789734,21.418841905074206,push-up
10,168.5326728461569,176.77510736651425,172.63830789816916,162.97571711542983,121.59553107542644,106.28616134535542,46.850845818263714,36.97166907202122,push-up
11,173.25479421883708,173.4875167816891,176.47766644385783,168.99844697361442,115.9789942088021,105.83966597975743,53.39310707348013,45.41887411407122,push-up
12,173.7653525700134,166.87594050146555,175.36519366644706,168.52418430319784,121.6772275932708,106.25930176347654,48.8281500134688,54.97539092874353,push-up
13,169.45520352418674,174.4819919954676,166.3059770900473,171.0801245456479,131.69104857233015,95.44166944625107,46.853406506152794,65.60742616006176,push-up
14,174.41147221853208,179.16566366207556,160.29110694899958,171.3880811140693,136.93410211892638,118.43814078776867,44.4789738701281,41.60009956911214,push-up
15,172.160377722546,173.42444952832653,176.0190276799625,125.2272726812138,49.08278932437954,81.31847225425969,135.67317077186524,61.962449695100794,push-up
16,170.94492432021906,173.08650771384433,157.57577738347595,148.03378415456513,50.8783995693023,72.55810207395331,133.85672215210909,59.47963309389404,push-up
17,172.36863342911187,167.31223080852286,136.96994330473782,155.76465573317162,41.451777544375965,86.62715146464018,137.5611652270915,72.34118759646883,push-up
18,177.55266233067715,177.73621837171888,121.64454578954728,163.60760705983571,31.280652422835203,87.71975369789664,144.66657769735374,65.30953105351486,push-up
19,173.14682176059011,175.42074642838904,114.00892175808092,95.65358923365268,54.87387050652208,109.0328216340011,148.2000550904152,55.43483689195207,push-up
20,169.12808003918246,178.59679029304434,43.02772233526137,21.342507874777723,65.79978162105618,103.10584899359054,153.1675352343924,47.35364229407078,push-up
21,169.16802714575923,177.50174671515964,104.55312083525179,12.881604098708026,106.79352175709289,84.79519265131535,154.37358009633826,64.47557534790757,push-up
22,171.16406531763676,170.2182732878416,92.74242458051214,8.176605105012118,122.37109293757345,91.56342301196833,154.68568885262917,47.7621883611471,push-up
23,167.47205474130502,153.65377527045956,86.72132926468353,34.78108714084599,113.08854237917348,73.7107742597625,154.10249871640323,33.830206026127954,push-up
24,146.0548440402132,175.65561410504898,86.19894946523296,8.629264635385873,91.29098015223092,61.36346012345294,127.93588326399308,69.78471334082597,push-up
